kategori,subkategori,tanggal,jam,latitude,longitude,tempat kejadian,nama kapal,bendera kapal,jenis kapal,berat kapal,IMO,Call Sign,MMSI,status kapal,nama perusahaan,nama pemilik,pelabuhan terakhir,pelabuhan tujuan,kapten kapal,kewarganegaraan,jumlah kru,pok/org afiliasi,modus operandi,sumber_klasifikasi_berita,isi_berita,pemeriksa,kapal penangkap
Imigran Ilegal,,04/03/2015,17:00,122.6914799,2.08336154,Laut Sulawesi,Savannah Express,Panama,Kpl Nelayan,214,IMO 67383,DML221217,78819,Layar,PT. Benua Expressindo Utama,Linda Bement,Nunbaun Sabu (Namosain),Sabang,Badrodin,Dominica,,,,D,4,TNI AD,Supply Ship
Imigran Ilegal,,01/02/2016,16:05,125.7989354,-5.6751562,Laut Banda,SS Bessemer Victory,Liberia,Kpl Ikan,172,IMO 73563,CEB8717,87323,Sandar,PT. Windu Pratama Courier,Oprah,Makalehi,Bukide,Johannes Vermeer,Swaziland,,,,A,4,TNI AD,Kpl Pengebor/Drillship
Imigran Ilegal,,30/03/2018,16:40,120.1913175,2.99511513,Laut Sulawesi,MSC Geneva,Honduras,Kargo/Barang,108,IMO 21398,UZS132024,87671,Sandar,CV. Deline Asia,Trotta,P. Sabutung,Tegal,Supardi Nasir,Kiribati,,,,F,4,TNI AU,Kpl Pemerintah
Imigran Ilegal,,19/12/2018,18:05,119.2016693,-6.74374167,Laut Flores,"TSS Golfito, banana boat of Fyffes Line",Libya,Speed Boat,113,IMO 94435,PEG1767,12314,Sandar,PT. Risa Pratama Nusantara,Gamawan Fauzi,Batu Enam,Fani,Szent,Myanmar,,,,C,4,Polri,Kpl Pengeruk/Dredger
Imigran Ilegal,,01/02/2015,06:25,119.8621568,-6.86550995,Laut Flores,MT Stolt Valor,Brazil,Kpl Pemadam Kebakaran/Fireboat,115,IMO 39733,VXC221018,32952,Lego,PT. Fam Logistik Distribusi,Narulita,Tepa,Oepoli,Waheed,Norway,,,,E,5,TNI AL,Tongkang
Imigran Ilegal,,14/10/2017,07:40,106.6732,-4.50263,Laut Jawa,Sitakund,Burkina Faso,Kpl Pesiar,165,IMO 62312,MTU1494,21619,Layar,PD. Talindo,Mara Sanguinetti,Sibigo,lamakera,Chanel Iman,Burkina Faso,,,,A,5,TNI AL,Penumpang
Imigran Ilegal,,15/02/2019,12:10,117.698747,-7.23397069,Laut Flores,MV Golden Nori,"Congo, DRC",Penumpang,115,IMO 23994,MFJ8116,76776,Layar,PT. Bahtera Dunia Pratama,Hasjrul Harahap,Ransiki,Kadatua,Meul,Zambia,,,,E,6,Bea Cukai,Supply Ship
Imigran Ilegal,,11/02/2015,01:15,125.1706598,-4.74352533,Laut Banda,USS Appanoose (AK-226),Cyprus,Kpl Pemadam Kebakaran/Fireboat,140,IMO 97273,KLQ181323,91346,Sandar,PT. Central Express,Sanchez,Segun,Lhokseumawe/Kreung Geukeh,Dana International,Kuwait,,,,A,1,TNI AU,Tug Boat/Kpl Tunda
Imigran Ilegal,,16/02/2019,01:45,108.51612,-4.0875,Laut Jawa,"TSS Golfito, banana boat of Fyffes Line",Faroe Is.,Tug Boat/Kpl Tunda,153,IMO 67356,EAT5510,42392,Sandar,PT. Mitra Utama Sejahtera Logistik,Riise,Anyer Lor,Dama,Traianos Dellas,Panama,,,,F,4,TNI AU,Kpl Derek/Crane
Imigran Ilegal,,29/10/2016,06:30,136.267882,2.04869203,Laut Halmahera,USS Sherman,Burundi,Kpl Pengebor/Drillship,147,IMO 51792,LJK12269,63266,Lego,PT. Rush Cargo Nusantara,Labrn,tulehuu,Teluk Palu,Mathias Jrgensen,French Southern & Antarctic Lands,,,,F,4,KKP,Kpl Pengebor/Drillship
Imigran Ilegal,,13/09/2015,13:25,129.7384471,-6.59630073,Laut Banda,SS Medic,Mauritius,Speed Boat,192,IMO 44759,ABC222623,19323,Lego,Kharisma Abadi,Mu'in Umar,Kalianda,Dabo Singkep,Antony van Leeuwenhuk,Singapore,,,,B,1,KKP,Kargo/Barang
Imigran Ilegal,,09/05/2017,06:05,116.9326344,-6.46339731,Laut Flores,USS Albireo (AK-90),Bosnia & Herzegovina,Kpl Selam,100,IMO 95784,WEC241518,93491,Lego,PT. Satria Antaran Prima,Mario Toki,Maloy,Mahaleta,Kenji Mizoguchi,Belarus,,,,C,2,TNI AD,Kpl Peti Kemas/Container
Imigran Ilegal,,13/12/2016,04:40,132.7243669,1.36324711,Laut Halmahera,Maritime Jewel,Egypt,Kpl Pemadam Kebakaran/Fireboat,102,IMO 19596,UJW25121,76617,Lego,PT. Nusantara Indoglobal Cargo,of Hesselink,Tanjung Tiram/Batubara,Kataloka/Ondor,Ferdinand Katipana,Bolivia,,,,A,3,Polri,Kpl Penyelamat/Lifeboat
Imigran Ilegal,,01/02/2014,00:30,137.9693246,0.33524393,Laut Halmahera,"Al Rekayyat, LNG Tanker",Ireland,Kpl Selam,226,IMO 13885,RAG14910,64333,Sandar,PT. Mitra Jasa Perkasa,Jesse Carver,Dumai,Manu/Gamumu,Suroso Prawirohardjo,San Marino,,,,C,4,TNI AU,Kpl Pengeruk/Dredger
Imigran Ilegal,,05/03/2015,07:10,128.6503043,-5.6434305,Laut Banda,USS Ara (AK-136),Guam,Tongkang,162,IMO 15424,OEN21917,16899,Layar,CV. Mitranda,Joko Wiryanto,Kalianget,Sanana,Gladys Knight,Anguilla,,,,F,4,KKP,Kargo/Barang
Imigran Ilegal,,29/10/2017,03:00,119.9126611,-6.57937703,Laut Flores,Truelove,Brazil,Speed Boat,239,IMO 87153,PSG181521,35347,Lego,PT. Nafastindo Trans Logistik,Aaron Mokuna,Sadai,Tual,Edwel Yusri Datuak Rajo,Martinique,,,,C,6,TNI AL,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,16/07/2018,14:00,107.35491,-4.67039,Laut Jawa,SS Cufic,Sri Lanka,Kpl Militer,235,IMO 39373,UEY7207,56729,Sandar,PT. Bank Nisp,Khaidir Anwar,Watunohu,Galesong,Jintao,Cameroon,,,,A,6,Bea Cukai,Kpl Derek/Crane
Imigran Ilegal,,29/07/2016,00:40,127.514119,-6.22901857,Laut Banda,SS Delphic,El Salvador,Kpl Ro-Ro,198,IMO 31779,JCI9212,64363,Sandar,PT. Kurnia Insurance Indonesia,Heurtaux,Ende,Brondong,Rin Sakuragi,Sao Tome & Principe,,,,A,1,TNI,Kpl Peti Kemas/Container
Imigran Ilegal,,02/07/2018,19:30,110.14104,-5.94885,Laut Jawa,SS Runic,New Caledonia,Bulker/Kpl Pengangkut Barang Curah,238,IMO 75911,MWN25171,38625,Sandar,PT. ESL EXPRESS,Tarminah,Hatu Piru,Boom Baru/Palembang,Eusbio,Samoa,,,,F,6,Bea Cukai,Kpl Peti Kemas/Container
Imigran Ilegal,,01/12/2017,10:55,125.8208221,-6.07476468,Laut Banda,Axel Mærsk,Niger,Bulker/Kpl Pengangkut Barang Curah,240,IMO 76322,QEC3319,46743,Layar,PT. Delta Anugerah Lestari Ekspres,Venceslau Brs Pereira Gomes,Jayapura,Manu/Gamumu,Lasse,Heard I. & McDonald Is.,,,,C,3,Bea Cukai,Kpl Pengeruk/Dredger
Imigran Ilegal,,07/12/2019,07:15,127.381876,-6.61062915,Laut Banda,Axel Mærsk,Fiji,Speed Boat,180,IMO 77356,RMV2214,54161,Layar,PT. Kharisma Tekad Karya,Madeleine Hartog Bel,Baturube,Eray,Angulo,Guinea,,,,D,4,Bea Cukai,Kpl Selam
Imigran Ilegal,,27/02/2017,21:50,124.0371244,2.11609949,Laut Sulawesi,MV Star Osakana,Heard I. & McDonald Is.,Tug Boat/Kpl Tunda,245,IMO 72288,UAT92412,33342,Sandar,PT. Sky Light Multitrada,Susumu Tonegawa,amahaii,Ampenan,Didier Digard,Tunisia,,,,E,6,TNI,Kargo/Barang
Imigran Ilegal,,02/06/2019,18:25,138.2517066,1.65812984,Laut Halmahera,SS Nomadic,Guinea-Bissau,Kpl Penyelamat/Lifeboat,183,IMO 28144,QRK23111,45499,Lego,PT. Lintas Expressindo Nusantara,Filan,Galela,Bukide,Sholom Aleichem,Hungary,,,,F,2,KKP,Kpl Pengeruk/Dredger
Imigran Ilegal,,23/11/2018,19:30,118.6404837,-6.95484741,Laut Flores,Axel Mærsk,Guinea-Bissau,Kpl Penyelamat/Lifeboat,113,IMO 33499,ZTR51313,14316,Sandar,PT. Satria Antaran Prima,Jaladara,Talaga Raya,Bitung,Haryanto Tobing,Turks & Caicos Is.,,,,D,5,TNI AD,Kpl Selam
Imigran Ilegal,,19/10/2018,12:45,116.9648955,-7.08038669,Laut Flores,MV Sea Star,Colombia,Kpl Selam,197,IMO 55387,LZG22414,81841,Lego,PT. Three Global Pratama Indonesia,Gylfi Sigursson,Dawera/Dawelor,Lakor,Nurdiansyah,Lesotho,,,,F,3,TNI AU,Kpl Kayu
Imigran Ilegal,,07/03/2016,11:55,134.6988816,0.28253214,Laut Halmahera,Sitakund,Nepal,Survey/Kpl Survei,207,IMO 98945,SGT16522,54161,Lego,PT. Nusantara Ekspress,Sukma Perdana Manaf,Tanjung Tiram/Karimun,Sapudi,Sarah Yorke,Cocos Is.,,,,B,2,TNI AU,Kpl Kayu
Imigran Ilegal,,08/09/2015,23:30,107.85954,-5.5164,Laut Jawa,USS Sherman,French Southern & Antarctic Lands,Kpl Kayu,142,IMO 87498,HAE10263,23224,Lego,PT. Reycom Document Solusi,Elvyn,Bitung,Cirebon,Linor,Mauritius,,,,C,2,Bea Cukai,Tug Boat/Kpl Tunda
Imigran Ilegal,,27/03/2014,08:55,123.5150427,3.66456712,Laut Sulawesi,"Umm Laqhab, LPG Tanker",San Marino,Bulker/Kpl Pengangkut Barang Curah,191,IMO 87366,PEG13118,15164,Sandar,Bp.Karya Mandiri,Henidar,Parigi,Eci,Dasri Yacob,Mayotte,,,,E,6,TNI AU,Kpl Pesiar
Imigran Ilegal,,05/10/2016,00:35,109.53355,-5.29814,Laut Jawa,MS Star Clipper,Slovenia,Kpl Selam,188,IMO 13857,WQO11815,72462,Sandar,PT. Reycom Document Solusi,Yellow Magic,Tanjung Laut,Fak-fak,Juy Yung,British Indian Ocean Territory,,,,E,3,KKP,Tongkang
Imigran Ilegal,,10/08/2017,23:10,131.6959743,0.63876023,Laut Halmahera,SS Bandirma,Sweden,Supply Ship,171,IMO 14997,WST2217,21548,Sandar,PT. Top Express,Vicente Lpez,Sangatta,Namlea,Andrea Consigli,Tanzania,,,,F,3,TNI AU,Supply Ship
Imigran Ilegal,,14/11/2015,15:45,133.2195524,0.04472781,Laut Halmahera,SS Arthur M. Anderson,Burkina Faso,Kpl Peti Kemas/Container,144,IMO 74846,GCH222025,79428,Sandar,Berdikari,Jenna Ushkowitz,Palue,Falabisahaya,Alam IX,Niue,,,,B,5,Bea Cukai,Tug Boat/Kpl Tunda
Imigran Ilegal,,24/05/2018,19:35,116.4298093,-7.48207399,Laut Flores,Aranui 3,Cambodia,Kpl Pemerintah,194,IMO 66176,NRL171025,55581,Lego,PT. Mekar Lintas Nusa,Brundtland,Lameluru,Kalibaru,Giovinco,San Marino,,,,A,6,TNI,Kpl Pesiar
Imigran Ilegal,,05/10/2016,14:00,122.7179589,3.06086042,Laut Sulawesi,SS Belgic ||||,Marshall Is.,Kargo/Barang,137,IMO 18861,VPU199,26837,Sandar,PT. Indoexpress Logistics,Senghor,Dapalan,Baranusa,Ghosh,Norfolk I.,,,,B,6,KKP,Tug Boat/Kpl Tunda
Imigran Ilegal,,26/06/2019,12:45,117.6690583,-7.52480048,Laut Flores,MV Empire MacCabe,Micronesia,Tug Boat/Kpl Tunda,208,IMO 13183,REP7422,94221,Lego,PT. Xpresindo Courier,Kwakman,Sibolga,Belinyu,Nnaji,Libya,,,,A,2,Bea Cukai,Kpl Pemerintah
Imigran Ilegal,,19/12/2015,04:15,131.8238911,0.77343939,Laut Halmahera,MSC Carmen,Austria,Penumpang,142,IMO 39187,ACW26423,49461,Sandar,PT. Dharmasa Adi Sejahtera,Nurmawati,Maritaing,Wanci,Jan Rezek,Jan Mayen,,,,B,2,Polri,Kpl Kayu
Imigran Ilegal,,28/05/2016,11:35,118.0835201,-6.92240983,Laut Flores,SS Nomadic,Nicaragua,Kpl Peti Kemas/Container,120,IMO 17752,NDO25197,21216,Lego,PT. Rajawali Dirgantara Perkasa,Rutherford B. Hayes,Una-Una,Kokas,Kiki Musampa,Chile,,,,E,2,KKP,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,23/08/2015,00:30,134.4265447,1.62147021,Laut Halmahera,Mærsk Stralsund,The Gambia,Kpl Pengebor/Drillship,100,IMO 44538,FKM473,28135,Layar,PT. Astragraphia Xprins indonesia,Ralph Fiennes,Hila/Romang,Garongkong,Muhammad Subarkah,Solomon Is.,,,,C,6,Bea Cukai,Kpl Layar
Imigran Ilegal,,27/10/2019,15:40,108.67341,-3.91887,Laut Jawa,MV Ascension,The Gambia,Kpl Selam,229,IMO 21482,CVO212113,35637,Lego,Berdikari,Mohamad Razif,Rembang,Teluk Dalam,Alexander Todd,Solomon Is.,,,,D,6,TNI,Kpl Pesiar
Imigran Ilegal,,22/08/2016,18:10,127.2639931,-4.46871331,Laut Banda,MV Alexia,South Africa,Kpl Kayu,236,IMO 53299,TNQ121626,86681,Lego,PT. Kereta Api Logistik,Al-Ahmed,Maccini Baji,Saonek,Siti Anizah,Ghana,,,,A,3,Polri,Kpl Kayu
Imigran Ilegal,,11/11/2017,16:10,108.2578,-5.25129,Laut Jawa,Altmark,Pitcairn Is.,Kpl Pemadam Kebakaran/Fireboat,199,IMO 72938,BTD121015,23518,Sandar,PT. Indomontas Karya Mandiri,Sayed Mustafa Usab,Molawe,Kwandang,Abd Rabbuh,Martinique,,,,F,6,TNI AU,Kpl Pesiar
Imigran Ilegal,,27/06/2018,06:35,118.7198176,-7.57059064,Laut Flores,USS Alderamin (AK-116),Cuba,Kpl Pemadam Kebakaran/Fireboat,148,IMO 23918,AYQ1275,32651,Layar,PT. Nirwana Indah Cemerlang,Nana Lee,Baa,Lagundi,Joni Marsinih,Nauru,,,,B,6,TNI,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,19/09/2014,15:05,134.448857,1.1512199,Laut Halmahera,MV Southern Lily,Mexico,Penumpang,159,IMO 79243,JMB10216,27592,Layar,PT. Transindo Xpress,Anton Begeza,Makalehi,Sinabang,Koen,Bolivia,,,,B,5,KKP,Kpl Selam
Imigran Ilegal,,01/08/2014,05:00,120.7541768,1.86823991,Laut Sulawesi,"Maharshi Vamadeva, LPG Tanker",Palau,Tug Boat/Kpl Tunda,224,IMO 98781,KFJ24510,42855,Layar,PT. Fama Persada,Masahiro Nakai,Sedanau,Biaro,Timofei Margasov,French Polynesia,,,,F,1,Polri,Kpl Selam
Imigran Ilegal,,11/10/2017,23:25,109.51474,-4.64689,Laut Jawa,USS Ascella (AK-137),Iraq,Kpl Pemerintah,167,IMO 81979,VWP141024,53215,Layar,PT. Nafiri Fajar Kemilau,Abigail Fillmore,Muara Padang,Segun,Rosa Damayanti,Morocco,,,,D,5,KKP,Kpl Militer
Imigran Ilegal,,14/08/2019,09:15,138.1431291,1.50788511,Laut Halmahera,MV Monchegorsk,Yemen,Survey/Kpl Survei,187,IMO 27137,IOJ112611,43574,Layar,PT. Waskita Elang Perkasa,Poniman,Tanjung Santan,P. Sabutung,Soyeon,Latvia,,,,D,6,TNI AU,Kpl Pesiar
Imigran Ilegal,,21/12/2015,16:15,123.7030392,3.25102926,Laut Sulawesi,SS vedic,Nigeria,Survey/Kpl Survei,133,IMO 68731,TJA22923,89298,Layar,PT. Bee Bersama Kargo,Jim Carter,Pamatata,Tobilota,Loi,Monaco,,,,A,6,KKP,Survey/Kpl Survei
Imigran Ilegal,,21/07/2018,02:45,117.337066,-7.34739756,Laut Flores,SS Medic,Suriname,Supply Ship,108,IMO 82591,NPX261415,15861,Lego,CV. Deline Asia,Andrei Budeyev,Sluke,Indari,ten Cate,Singapore,,,,C,5,Bakamla,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,05/12/2018,08:55,130.3540383,-4.98114761,Laut Banda,Thomas W. Lawson,Greenland,Tanker,158,IMO 41439,CRN826,99688,Layar,PT. Dexter Ekspressindo,Brs Pereira,Gorom,Marunda,Murod,Iran,,,,F,1,TNI AU,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,10/02/2018,14:50,116.6299848,-7.77424557,Laut Flores,Exxon Valdez,St. Helena,Kpl Pengebor/Drillship,184,IMO 51963,RWA51210,39595,Sandar,Hindra Motor,Tom Starke,Ende,Merauke,Karim Suweileh,Guatemala,,,,B,5,TNI,Supply Ship
Imigran Ilegal,,01/09/2016,22:30,110.09453,-4.30945,Laut Jawa,SS Ionic,Barbados,Kpl Ro-Ro,195,IMO 99949,OZC71922,72518,Lego,PT. Tushimaro Express,Festus Mogae,Seira,Fani,Sayed Mustafa Usab,Tanzania,,,,D,4,Bakamla,Supply Ship
Imigran Ilegal,,28/07/2019,06:05,120.9056738,2.68928996,Laut Sulawesi,SS Suevic,Indonesia,Supply Ship,177,IMO 91741,ZRG252510,73191,Lego,PT. Gumay Tama Bersaudara,Pisano,Dama,Daruba,Kasarunk,Bermuda,,,,E,3,TNI AU,Tanker
Imigran Ilegal,,18/03/2018,02:40,134.1335774,-0.13950232,Laut Halmahera,MV Ancylus,Timor-Leste,Kpl Nelayan,118,IMO 11963,HTS1914,18123,Lego,PT. Transindo Xpress,K. Doe,Bunta,Gresik,Nurhayati,Venezuela,,,,A,4,Bakamla,Kpl Nelayan
Imigran Ilegal,,17/04/2015,13:35,128.566441,-6.51106551,Laut Banda,MOL Enterprise,Mayotte,Tanker,139,IMO 21197,EHK221120,19344,Layar,PT. Jalan Baru Jalan,Miyabi,amahaii,Essang,George Clement,Armenia,,,,A,1,Polri,Tongkang
Imigran Ilegal,,24/04/2014,04:20,121.8502941,2.55967155,Laut Sulawesi,MS Star Clipper,Finland,Kpl Penyelamat/Lifeboat,219,IMO 39364,WJR6233,57154,Sandar,PT. Jaya Halim Cargo,Anton Kilin,Pantai Cermin,Fogi,Zainal Abidin bin Ali,Benin,,,,F,5,TNI AD,Kpl Derek/Crane
Imigran Ilegal,,24/06/2015,13:30,119.7687975,2.1373085,Laut Sulawesi,"Estelle Mærsk, container ship for Maersk Line",Estonia,Kpl Layar,233,IMO 12885,WRW221625,13219,Layar,PT. Aix Indologis Exspress,Imelda Lubis,Damar,P. Kalukalukuang,Platini,Serbia,,,,F,4,Bea Cukai,Tug Boat/Kpl Tunda
Imigran Ilegal,,10/07/2015,12:40,107.51658,-5.36758,Laut Jawa,Amoco Cadiz,Swaziland,Kpl Layar,185,IMO 69917,EDI171712,99344,Layar,PT. Giandres Abadi Express,Buston Browne,Pangkalan Susu,Pulau Seluan,Nigel Adkins,Angola,,,,E,1,Polri,Kpl Derek/Crane
Imigran Ilegal,,07/08/2014,16:25,109.69533,-4.86228,Laut Jawa,SS Tropic,Timor-Leste,Supply Ship,127,IMO 52949,SGK212414,55954,Layar,PT. Mitra Jasa Perkasa,Bentez,Jayapura,Pekalongan,Sadako,Fiji,,,,F,2,TNI,Kpl Peti Kemas/Container
Imigran Ilegal,,23/09/2017,03:25,129.5445776,-5.41009059,Laut Banda,SS vedic,Aruba,Kpl Ro-Ro,135,IMO 68766,KPS261722,78983,Layar,Agung Jaya,Jens Langeneke,Wuring,Ambalau,Aloisi,Spain,,,,E,1,TNI AD,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,13/03/2018,12:20,131.3766923,0.23728143,Laut Halmahera,MV Colombo Express,Greece,Tongkang,173,IMO 44519,XMY91413,16737,Layar,PT. Wira Andalan Sukses,Michal,Bagan Asahan,Ereke,Ikeda,Romania,,,,B,6,KKP,Kpl Selam
Imigran Ilegal,,13/02/2019,22:25,124.1672618,2.69515905,Laut Sulawesi,MV Jindal Kamakshi,Ecuador,Survey/Kpl Survei,137,IMO 33381,SNQ25167,24549,Sandar,PT. Indomontas Karya Mandiri,Shamasdin,Pulau Baai,Pekanbaru,Nunu,Cape Verde,,,,E,4,KKP,Kpl Derek/Crane
Imigran Ilegal,,14/04/2016,11:10,109.81798,-5.04279,Laut Jawa,Olga Mærsk (1948),Netherlands,Kargo/Barang,151,IMO 44585,OUQ1159,88898,Sandar,Sigma Net,Mohammad Ali,Sunda Kelapa,Eray/Upisera,Elfriede,Colombia,,,,A,4,TNI,Kpl Layar
Imigran Ilegal,,15/11/2016,08:50,126.9491385,-4.5767177,Laut Banda,SS Desabla,Croatia,Kpl Pemadam Kebakaran/Fireboat,142,IMO 18519,LPR17924,49566,Layar,PT. Pumasera Mitra Sejahtera,Th Kim Phc,Dumai,Bintuhan/Linau,Adamson,Egypt,,,,F,4,Bea Cukai,Kpl Ro-Ro
Imigran Ilegal,,05/12/2015,22:40,107.465,-5.5815,Laut Jawa,SS Prospector,Guinea,Tanker,122,IMO 22118,CSE7515,83726,Sandar,PT. Artha Prima Global,Jawed Karim,Belawan,Pekajang,Anton Ferdinand,Malta,,,,E,4,Bea Cukai,Kpl Pesiar
Imigran Ilegal,,12/10/2015,03:45,138.217942,1.08829105,Laut Halmahera,USS Bali (ID-2483),Martinique,Kargo/Barang,111,IMO 56189,AMS5208,12999,Lego,PD. Maslahat,Jeff Palmer,Jayapura,Waikelo,Kiko Argello,Croatia,,,,C,3,TNI AU,Survey/Kpl Survei
Imigran Ilegal,,08/08/2015,10:15,121.3317332,2.05943222,Laut Sulawesi,Torrey Canyon,United Kingdom,Kpl Ikan,187,IMO 38391,MZF12524,75347,Sandar,PT. Buana Tirta,Na,Carocok Painan,Dofa,Leonard Goldstein,Guinea-Bissau,,,,C,1,TNI AD,Kpl Layar
Imigran Ilegal,,16/05/2015,04:30,122.6600416,4.18090792,Laut Sulawesi,CMA CGM Thalassa,Equatorial Guinea,Kargo/Barang,209,IMO 56189,TID2216,92432,Layar,King Garden,Ismet Iskandar,Taddan,Maurole,Rahmah El,Montserrat,,,,B,3,Bea Cukai,Kpl Selam
Imigran Ilegal,,13/06/2016,22:05,117.11164,-6.55195759,Laut Flores,"SS Gallina, LNG Tanker",Vietnam,Tanker,136,IMO 59451,OLM562,23842,Layar,PT. Lion Express,Juan Arango,Dawera/Dawelor,Munte/Luwu Utara,Jaime Valds,Kenya,,,,D,2,TNI AD,Supply Ship
Imigran Ilegal,,21/07/2015,01:00,120.8627048,2.03947118,Laut Sulawesi,Torrey Canyon,New Caledonia,Kpl Pemerintah,212,IMO 93722,RVY5918,35614,Layar,PT. Bosko Logistic,Graffitti,Pulau Baai,Eci,Naysila Mirdad,Norfolk I.,,,,D,4,KKP,Kpl Pengeruk/Dredger
Imigran Ilegal,,18/07/2014,12:25,120.5326097,4.1923024,Laut Sulawesi,CMA CGM Medea,Eritrea,Kpl Peti Kemas/Container,228,IMO 42384,CDH17189,23183,Lego,PT. Mitra Berjaya Sukses Sejahtera,Lukman Harun,Tahuna,Boipinang,Maksim Shatskikh,Puerto Rico,,,,B,2,Bakamla,Bulker/Kpl Pengangkut Barang Curah
Imigran Ilegal,,16/11/2014,02:30,123.3869311,4.22773868,Laut Sulawesi,MSC Rosaria,Belarus,Kpl Selam,106,IMO 56512,GRV216,21373,Sandar,PT. Primajaya Abadi Logistik,Alexander Michaeletos,Fak-fak,Mesuji/Lampung,Li Yundi,Kiribati,,,,C,6,Bea Cukai,Kpl Pesiar
Imigran Ilegal,,02/12/2019,14:15,123.9556677,3.36499415,Laut Sulawesi,USS Allioth (AK-109),Cocos Is.,Kpl Selam,206,IMO 89676,LNJ11236,66611,Sandar,PT. Tushimaro Express,Jay-Jay Okocha,Muko-Muko,Maumere /Laurentius Say,Bakar Ba'asyir,Niue,,,,C,3,TNI AU,Kpl Ikan
Imigran Ilegal,,08/04/2016,06:30,124.119085,2.1805872,Laut Sulawesi,MSC Carouge,Puerto Rico,Kpl Pesiar,107,IMO 97173,YTJ2265,77764,Lego,PT. Sky Light Multitrada,James Clavell,Wamengkoli,Waiwadan,Sae,Belgium,,,,B,3,TNI AU,Kpl Layar
Imigran Ilegal,,12/12/2016,16:00,132.8503755,1.70221208,Laut Halmahera,SS Fatima,Jamaica,Supply Ship,226,IMO 49342,ROO132310,81861,Sandar,PT. Abjad Barco Lamhin,Rousseff,lamakera,Gunung Sitoli,Raja Ema,Uganda,,,,E,1,Bakamla,Kpl Selam
Imigran Ilegal,,16/05/2015,13:00,116.6976748,-6.57769809,Laut Flores,SS Fatima,Germany,Tongkang,141,IMO 68223,SET1573,11819,Lego,PT. Global Artha Abadi,Yuwanto,Pangandaran,Lembar,Ohori,Finland,,,,F,3,TNI AL,Kpl Layar
Imigran Ilegal,,05/01/2016,02:50,125.4320853,-4.93838451,Laut Banda,SS Runic ||,Belgium,Kpl Ikan,174,IMO 22846,UED21513,21927,Layar,PT. Lintas Nusa Ekspress,H. Grubbs,Kedi,Poopongan,Paul Lambert,Poland,,,,B,5,TNI AD,Survey/Kpl Survei
Imigran Ilegal,,04/12/2014,14:10,108.60485,-4.83102,Laut Jawa,MSC Carmen,Uzbekistan,Tanker,192,IMO 59679,JYT2547,36832,Lego,PT. ESL EXPRESS,Wineland,Glimandangin,Dawera/Dawelor,Ahmed Qurei,Greece,,,,F,5,Bakamla,Kpl Selam
Imigran Ilegal,,04/11/2017,00:15,119.179645,-7.9681092,Laut Flores,Olga Mærsk (1948),Poland,Kpl Selam,206,IMO 84934,HTH101418,76541,Lego,Mega Resources Textil Agency,Lala Karmela,Budong-Budong,Pekajang,Sirajuddin,Montserrat,,,,B,6,KKP,Tongkang
Imigran Ilegal,,22/10/2018,04:15,117.2645226,-7.16722953,Laut Flores,SS Bovic,Kazakhstan,Kpl Ro-Ro,107,IMO 62768,WPZ8110,72257,Lego,CV. Pascal Delta Prima,Ratna Galih Primakusuma,Tangkiang,Marabombang,Donny Fattah,Antarctica,,,,D,1,Bakamla,Penumpang
Imigran Ilegal,,23/11/2015,23:55,107.99341,-5.03653,Laut Jawa,MV Cristina A,French Polynesia,Kpl Selam,113,IMO 71875,QFC142622,72134,Layar,PT. Indologistik Kurir Internusa,Michel Preud'homme,Tabarfane,Tanjung Beringin,Pujiono,Cameroon,,,,F,1,TNI AL,Kpl Militer
Imigran Ilegal,,22/12/2019,12:30,117.6243484,-6.85274256,Laut Flores,"Umm Slal, LNG Tanker",Sao Tome & Principe,Supply Ship,240,IMO 51134,ZFH192015,79376,Sandar,Standard Chartered Bank,Jane Pierce,Torosik,Pangkalan Brandan,Adi Firansyah,Comoros,,,,F,4,TNI AU,Kpl Ikan
Imigran Ilegal,,13/12/2017,10:15,106.65369,-5.38241,Laut Jawa,MV Biscaglia,Russia,Kpl Pesiar,149,IMO 67274,JQS19416,82673,Sandar,PT. Hero Super Market ,Jesse Woodson James,Banabungi Pasarwajo,Larat,Jean-Jacques Tizi,Bangladesh,,,,A,5,Polri,Kpl Militer
Imigran Ilegal,,30/06/2014,06:50,127.1017265,-4.57142523,Laut Banda,USS Aludra (AK-72),Croatia,Kpl Militer,210,IMO 18736,VDH81416,87697,Layar,PT. Rajawali Dirgantara Perkasa,Aminev,Singkawang,Siwa/Bangsalae,Yohan Benalouane,Slovakia,,,,B,1,TNI AU,Kpl Pemadam Kebakaran/Fireboat
Imigran Ilegal,,09/03/2019,18:10,125.2338592,-5.78260068,Laut Banda,"Maharshi Bhardwaj, LPG Tanker*Mesaimeer, LNG Tanker",Monaco,Kpl Kayu,104,IMO 18422,KIS26152,72375,Lego,PT. Jaha Buana Lestari,John Nance,Dompak,Pasokan,kos,Tuvalu,,,,E,6,Bakamla,Kpl Pesiar
